time,posterior_mean
1.0,342.9529113769531
2.0,343.31494140625
3.0,343.5208740234375
4.0,343.63848876953125
5.0,343.7336120605469
6.0,343.8052062988281
7.0,343.8572998046875
8.0,343.89593505859375
9.0,343.9241943359375
10.0,343.94476318359375
11.0,343.959716796875
12.0,343.97052001953125
13.0,343.9783630371094
14.0,343.98406982421875
15.0,343.9881286621094
16.0,343.9910583496094
17.0,343.9931945800781
18.0,343.99468994140625
19.0,343.99578857421875
20.0,343.99652099609375
21.0,343.9971008300781
22.0,343.99749755859375
23.0,343.9977722167969
24.0,343.9979553222656
25.0,343.9981689453125
26.0,343.9982604980469
27.0,343.9983215332031
28.0,343.99835205078125
29.0,343.9984130859375
30.0,343.9983825683594
31.0,343.99847412109375
32.0,343.99847412109375
33.0,343.99847412109375
34.0,343.9985046386719
35.0,343.9985046386719
36.0,343.9985046386719
37.0,343.9985046386719
38.0,343.9985046386719
39.0,343.9985046386719
40.0,343.9985046386719
41.0,343.9985046386719
42.0,343.9985046386719
43.0,343.9985046386719
44.0,343.9985046386719
45.0,343.9985046386719
46.0,343.9985046386719
47.0,343.9985046386719
48.0,343.9985046386719
49.0,343.9985046386719
50.0,343.9985046386719
51.0,343.9985046386719
52.0,343.9985046386719
53.0,343.9985046386719
54.0,343.9985046386719
55.0,343.9985046386719
56.0,343.9985046386719
57.0,343.9985046386719
58.0,343.9985046386719
59.0,343.9985046386719
60.0,343.9985046386719
61.0,343.9985046386719
62.0,343.9985046386719
63.0,343.9985046386719
64.0,343.9985046386719
65.0,343.9985046386719
66.0,343.9985046386719
67.0,343.9985046386719
68.0,343.9985046386719
69.0,343.9985046386719
70.0,343.9985046386719
71.0,343.9985046386719
72.0,343.9985046386719
73.0,343.9985046386719
74.0,343.9985046386719
75.0,343.9985046386719
76.0,343.9985046386719
77.0,343.9985046386719
78.0,343.9985046386719
79.0,343.9985046386719
80.0,343.9985046386719
81.0,343.9947814941406
82.0,343.9913330078125
83.0,343.9881896972656
84.0,343.9853820800781
85.0,343.9829406738281
86.0,343.98101806640625
87.0,343.9796142578125
88.0,343.9786071777344
89.0,343.9779052734375
90.0,343.9776611328125
91.0,343.9778137207031
92.0,343.97833251953125
93.0,343.9791564941406
94.0,343.9802551269531
95.0,343.9814758300781
96.0,343.9827880859375
97.0,343.9840393066406
98.0,343.9851989746094
99.0,343.9861755371094
100.0,343.9869384765625
101.0,343.9873962402344
102.0,343.9875793457031
103.0,343.987548828125
104.0,343.98736572265625
105.0,343.987060546875
106.0,343.9866943359375
107.0,343.9862976074219
108.0,343.9859924316406
109.0,343.98577880859375
110.0,343.9856872558594
111.0,343.9857177734375
112.0,343.98590087890625
113.0,343.9863586425781
114.0,343.9869384765625
115.0,343.9875793457031
116.0,343.9884033203125
117.0,343.98931884765625
118.0,343.9903564453125
119.0,343.99151611328125
120.0,343.9927673339844
121.0,343.9941101074219
122.0,343.9955749511719
123.0,343.99713134765625
124.0,343.9986877441406
125.0,344.00030517578125
126.0,344.00213623046875
127.0,344.0039367675781
128.0,344.0058898925781
129.0,344.0078430175781
130.0,344.0098876953125
131.0,344.011962890625
132.0,344.01409912109375
133.0,344.01629638671875
134.0,344.0185241699219
135.0,344.0207824707031
