time,posterior_mean
1.0,342.70611572265625
2.0,342.8349609375
3.0,342.84918212890625
4.0,342.83966064453125
5.0,342.8275451660156
6.0,342.8154296875
7.0,342.7997131347656
8.0,342.7867431640625
9.0,342.776611328125
10.0,342.76885986328125
11.0,342.76300048828125
12.0,342.7586669921875
13.0,342.75543212890625
14.0,342.7530517578125
15.0,342.75140380859375
16.0,342.7501220703125
17.0,342.7492370605469
18.0,342.7486267089844
19.0,342.7481384277344
20.0,342.747802734375
21.0,342.74755859375
22.0,342.74737548828125
23.0,342.74725341796875
24.0,342.7471618652344
25.0,342.74713134765625
26.0,342.7470703125
27.0,342.7470397949219
28.0,342.7470397949219
29.0,342.74700927734375
30.0,342.74700927734375
31.0,342.7469482421875
32.0,342.7469482421875
33.0,342.7469482421875
34.0,342.7469482421875
35.0,342.7469482421875
36.0,342.7469482421875
37.0,342.7469482421875
38.0,342.7469482421875
39.0,342.7469482421875
40.0,342.7469482421875
41.0,342.7469482421875
42.0,342.7469482421875
43.0,342.7469482421875
44.0,342.7469482421875
45.0,342.7469482421875
46.0,342.7469482421875
47.0,342.7469482421875
48.0,342.7469482421875
49.0,342.7469482421875
50.0,342.7469482421875
51.0,342.7469482421875
52.0,342.7469482421875
53.0,342.7469482421875
54.0,342.7469482421875
55.0,342.7469482421875
56.0,342.7469482421875
57.0,342.7469482421875
58.0,342.7469482421875
59.0,342.7469482421875
60.0,342.7469482421875
61.0,342.7469482421875
62.0,342.7469482421875
63.0,342.7469482421875
64.0,342.7469482421875
65.0,342.7469482421875
66.0,342.7469482421875
67.0,342.7469482421875
68.0,342.7469482421875
69.0,342.7469482421875
70.0,342.7469482421875
71.0,342.7469482421875
72.0,342.7469482421875
73.0,342.7469482421875
74.0,342.7469482421875
75.0,342.7469482421875
76.0,342.7469482421875
77.0,342.7469482421875
78.0,342.7469482421875
79.0,342.7469482421875
80.0,342.7469482421875
81.0,342.74505615234375
82.0,342.7432556152344
83.0,342.7413635253906
84.0,342.73956298828125
85.0,342.73773193359375
86.0,342.7358703613281
87.0,342.7340087890625
88.0,342.7322082519531
89.0,342.7303466796875
90.0,342.72857666015625
91.0,342.7266845703125
92.0,342.7248840332031
93.0,342.7229919433594
94.0,342.72113037109375
95.0,342.71917724609375
96.0,342.7172546386719
97.0,342.7152404785156
98.0,342.7132263183594
99.0,342.7111511230469
100.0,342.7090759277344
101.0,342.7068786621094
102.0,342.70465087890625
103.0,342.7023620605469
104.0,342.7000732421875
105.0,342.69769287109375
106.0,342.6953125
107.0,342.6929016113281
108.0,342.69049072265625
109.0,342.6880798339844
110.0,342.6857604980469
111.0,342.6834411621094
112.0,342.68109130859375
113.0,342.6788024902344
114.0,342.67657470703125
115.0,342.67437744140625
116.0,342.67218017578125
117.0,342.67010498046875
118.0,342.6679992675781
119.0,342.6659240722656
