time,posterior_mean
1.0,1.714445948600769
2.0,1.7559800148010254
3.0,1.7660338878631592
4.0,1.7587406635284424
5.0,1.7537559270858765
6.0,1.7483450174331665
7.0,1.73689603805542
8.0,1.7266185283660889
9.0,1.7181084156036377
10.0,1.711324691772461
11.0,1.7060836553573608
12.0,1.7021098136901855
13.0,1.6991461515426636
14.0,1.6969549655914307
15.0,1.6953555345535278
16.0,1.6941893100738525
17.0,1.6933493614196777
18.0,1.6927400827407837
19.0,1.6923019886016846
20.0,1.691986322402954
21.0,1.691762089729309
22.0,1.6915987730026245
23.0,1.69148588180542
24.0,1.6914018392562866
25.0,1.691340446472168
26.0,1.6912990808486938
27.0,1.6912667751312256
28.0,1.6912450790405273
29.0,1.691230058670044
30.0,1.6912201642990112
31.0,1.6912106275558472
32.0,1.6912050247192383
33.0,1.6912028789520264
34.0,1.6911990642547607
35.0,1.6911945343017578
36.0,1.691194772720337
37.0,1.691192388534546
38.0,1.6911921501159668
39.0,1.69119131565094
40.0,1.691190481185913
41.0,1.6911895275115967
42.0,1.691188931465149
43.0,1.691191554069519
44.0,1.691191554069519
45.0,1.6911911964416504
46.0,1.6911911964416504
47.0,1.691191554069519
48.0,1.6911909580230713
49.0,1.6911909580230713
50.0,1.6911909580230713
51.0,1.6911909580230713
52.0,1.6911909580230713
53.0,1.6911909580230713
54.0,1.6911909580230713
55.0,1.6911909580230713
56.0,1.6911909580230713
57.0,1.6911909580230713
58.0,1.6911909580230713
59.0,1.6911909580230713
60.0,1.6911909580230713
61.0,1.6911909580230713
62.0,1.6911909580230713
63.0,1.6911909580230713
64.0,1.6911909580230713
65.0,1.6911909580230713
66.0,1.6911909580230713
67.0,1.6911909580230713
68.0,1.6911909580230713
69.0,1.6911909580230713
70.0,1.6911909580230713
71.0,1.6911909580230713
72.0,1.6911909580230713
73.0,1.6911909580230713
74.0,1.6911909580230713
75.0,1.6911909580230713
76.0,1.6911909580230713
77.0,1.6911909580230713
78.0,1.6911909580230713
79.0,1.6911909580230713
80.0,1.6911909580230713
81.0,1.6909689903259277
82.0,1.6907228231430054
83.0,1.690463662147522
84.0,1.6901894807815552
85.0,1.689904808998108
86.0,1.6896073818206787
87.0,1.6893041133880615
88.0,1.6889876127243042
89.0,1.6886601448059082
90.0,1.6883118152618408
91.0,1.6879372596740723
92.0,1.6875357627868652
93.0,1.6870979070663452
94.0,1.6866157054901123
95.0,1.6860935688018799
96.0,1.6855322122573853
97.0,1.684941053390503
98.0,1.684340000152588
99.0,1.6837271451950073
100.0,1.6831072568893433
101.0,1.6824933290481567
102.0,1.6818784475326538
103.0,1.6812553405761719
104.0,1.6806361675262451
105.0,1.6800150871276855
106.0,1.6793930530548096
107.0,1.6787735223770142
108.0,1.678160309791565
109.0,1.6775580644607544
110.0,1.6769635677337646
111.0,1.6763700246810913
112.0,1.6757811307907104
113.0,1.675195574760437
114.0,1.6746143102645874
115.0,1.6740431785583496
116.0,1.6734758615493774
117.0,1.6729203462600708
118.0,1.672372579574585
119.0,1.671828031539917
120.0,1.6712987422943115
121.0,1.6707721948623657
122.0,1.670249342918396
123.0,1.6697310209274292
124.0,1.6692118644714355
125.0,1.6686936616897583
126.0,1.668176531791687
127.0,1.6676647663116455
128.0,1.6671557426452637
129.0,1.6666476726531982
130.0,1.6661455631256104
131.0,1.665647029876709
132.0,1.6651488542556763
133.0,1.6646535396575928
134.0,1.6641603708267212
135.0,1.6636685132980347
136.0,1.6631834506988525
137.0,1.6627033948898315
138.0,1.6622247695922852
139.0,1.6617525815963745
140.0,1.66128408908844
141.0,1.6608195304870605
142.0,1.6603630781173706
143.0,1.6599074602127075
144.0,1.659456491470337
145.0,1.6590075492858887
146.0,1.6585631370544434
147.0,1.6581207513809204
148.0,1.6576848030090332
149.0,1.657249093055725
150.0,1.6568212509155273
151.0,1.6563981771469116
152.0,1.6559797525405884
153.0,1.6555641889572144
154.0,1.655155062675476
155.0,1.6547523736953735
156.0,1.654354453086853
157.0,1.6539630889892578
158.0,1.653576374053955
159.0,1.6531927585601807
160.0,1.6528148651123047
161.0,1.652441143989563
162.0,1.6520732641220093
163.0,1.6517099142074585
164.0,1.6513501405715942
165.0,1.650995135307312
166.0,1.6506448984146118
167.0,1.6503002643585205
168.0,1.649959921836853
169.0,1.649620532989502
170.0,1.6492935419082642
171.0,1.6489635705947876
172.0,1.6486444473266602
173.0,1.6483244895935059
174.0,1.6480112075805664
175.0,1.6476999521255493
176.0,1.6473939418792725
177.0,1.6470947265625
178.0,1.6467974185943604
179.0,1.646507740020752
180.0,1.6462230682373047
181.0,1.6459397077560425
182.0,1.6456618309020996
183.0,1.6453906297683716
184.0,1.6451197862625122
185.0,1.6448537111282349
186.0,1.6445900201797485
187.0,1.6443332433700562
188.0,1.6440767049789429
189.0,1.6438263654708862
190.0,1.6435798406600952
191.0,1.6416666507720947
192.0,1.6399403810501099
193.0,1.6383180618286133
194.0,1.6368975639343262
195.0,1.635756015777588
196.0,1.634884238243103
197.0,1.6342840194702148
198.0,1.6339271068572998
199.0,1.6338582038879395
200.0,1.6341431140899658
201.0,1.63486909866333
202.0,1.6361122131347656
203.0,1.63789963722229
204.0,1.6401288509368896
205.0,1.6426868438720703
206.0,1.645358920097351
207.0,1.648013710975647
208.0,1.650573492050171
209.0,1.6530604362487793
210.0,1.6555205583572388
211.0,1.6580013036727905
212.0,1.6604262590408325
213.0,1.662654995918274
214.0,1.664607286453247
215.0,1.6661733388900757
216.0,1.667320728302002
217.0,1.6680573225021362
218.0,1.668447732925415
219.0,1.6685177087783813
220.0,1.6683285236358643
221.0,1.6679002046585083
222.0,1.6673164367675781
223.0,1.6666316986083984
224.0,1.665885329246521
225.0,1.6650798320770264
226.0,1.6642464399337769
227.0,1.6633803844451904
228.0,1.6624555587768555
229.0,1.6614643335342407
230.0,1.660402774810791
231.0,1.6599721908569336
232.0,1.659451961517334
233.0,1.6588664054870605
234.0,1.6582294702529907
235.0,1.657538890838623
236.0,1.656773567199707
237.0,1.655921220779419
238.0,1.6550017595291138
239.0,1.6540086269378662
240.0,1.652984380722046
241.0,1.6519596576690674
242.0,1.6509735584259033
243.0,1.6500881910324097
244.0,1.6493271589279175
245.0,1.6486985683441162
246.0,1.6482157707214355
247.0,1.6478779315948486
248.0,1.6477149724960327
249.0,1.647723913192749
250.0,1.6478809118270874
251.0,1.6481232643127441
252.0,1.6483691930770874
253.0,1.6486512422561646
254.0,1.6489858627319336
255.0,1.6493891477584839
256.0,1.6498823165893555
257.0,1.6504229307174683
258.0,1.6510013341903687
259.0,1.6516448259353638
260.0,1.6523205041885376
261.0,1.6522375345230103
262.0,1.6521351337432861
263.0,1.6520178318023682
264.0,1.6518888473510742
265.0,1.6517512798309326
266.0,1.6516101360321045
267.0,1.65146803855896
268.0,1.6513224840164185
269.0,1.651177167892456
270.0,1.6510322093963623
271.0,1.6508852243423462
272.0,1.6507418155670166
273.0,1.6505991220474243
274.0,1.650458812713623
275.0,1.6503193378448486
276.0,1.650180459022522
277.0,1.6500434875488281
278.0,1.6499097347259521
279.0,1.6497758626937866
280.0,1.6496450901031494
281.0,1.649514079093933
282.0,1.649383783340454
283.0,1.6492578983306885
284.0,1.6491304636001587
285.0,1.6490085124969482
286.0,1.6488862037658691
287.0,1.6487643718719482
288.0,1.6486454010009766
289.0,1.648526906967163
290.0,1.648410439491272
291.0,1.6482945680618286
292.0,1.6481808423995972
293.0,1.6480677127838135
294.0,1.6479562520980835
295.0,1.647847294807434
296.0,1.6477371454238892
297.0,1.6476300954818726
298.0,1.6475260257720947
299.0,1.6474202871322632
300.0,1.6473177671432495
