======================================================================
TABLE: Empirical posterior histogram data
======================================================================

valid_time_step_index   | time   | time_unit   | parameter                         | parameter_id                      | unit    | bin_left             | bin_right            | density                 | count   | posterior_mean      
------------------------+--------+-------------+-----------------------------------+-----------------------------------+---------+----------------------+----------------------+-------------------------+---------+---------------------
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 0.9889746308326721   | 0.9969872236251831   | 0.12480355428090988     | 1       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 0.9969872236251831   | 1.0049997568130493   | 0.0                     | 0       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0049997568130493   | 1.013012409210205    | 0.0                     | 0       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.013012409210205    | 1.0210249423980713   | 0.12480447525813075     | 1       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0210249423980713   | 1.0290374755859375   | 0.0                     | 0       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0290374755859375   | 1.0370501279830933   | 0.0                     | 0       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0370501279830933   | 1.0450626611709595   | 0.12480447525813075     | 1       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0450626611709595   | 1.0530751943588257   | 0.0                     | 0       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0530751943588257   | 1.0610878467559814   | 0.0                     | 0       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0610878467559814   | 1.0691003799438477   | 0.2496089505162615      | 2       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0691003799438477   | 1.0771129131317139   | 0.12480447525813075     | 1       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0771129131317139   | 1.0851255655288696   | 0.374407855389422       | 3       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0851255655288696   | 1.0931380987167358   | 1.2480447525813074      | 10      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.0931380987167358   | 1.101150631904602    | 1.7472626536138305      | 14      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.101150631904602    | 1.1091632843017578   | 3.1200654615785166      | 25      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1091632843017578   | 1.117175817489624    | 3.494525307227661       | 28      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.117175817489624    | 1.1251883506774902   | 6.115419287648407       | 49      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1251883506774902   | 1.133201003074646    | 9.859406858588112       | 79      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.133201003074646    | 1.1412135362625122   | 10.982793822715506      | 88      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1412135362625122   | 1.149226188659668    | 12.605064464777207      | 101     | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.149226188659668    | 1.1572387218475342   | 15.226145981491952      | 122     | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1572387218475342   | 1.1652512550354004   | 13.47888332787812       | 108     | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1652512550354004   | 1.1732639074325562   | 11.23223566168266       | 90      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1732639074325562   | 1.1812764406204224   | 12.230838575296813      | 98      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1812764406204224   | 1.1892889738082886   | 7.613072990745976       | 61      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1892889738082886   | 1.1973016262054443   | 6.364933541620174       | 51      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.1973016262054443   | 1.2053141593933105   | 5.241787960841491       | 42      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.2053141593933105   | 1.2133266925811768   | 2.2464805546463533      | 18      | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.2133266925811768   | 1.2213393449783325   | 0.748815710778844       | 6       | 1.155167579650879   
40                      | 41.0   |             | Cell current density              | cell_current_density              | A/cm²   | 1.2213393449783325   | 1.2293518781661987   | 0.12480447525813075     | 1       | 1.155167579650879   
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.4724597632884979   | 0.4909416735172272   | 0.10821391964617799     | 2       | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.4909416735172272   | 0.509423553943634    | 0.16232114749611654     | 3       | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.509423553943634    | 0.5279054641723633   | 0.054106959823088996    | 1       | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.5279054641723633   | 0.5463873744010925   | 0.162320879469267       | 3       | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.5463873744010925   | 0.5648692846298218   | 0.54106959823089        | 10      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.5648692846298218   | 0.583351194858551    | 0.8116043973463349      | 15      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.583351194858551    | 0.6018331050872803   | 1.4608879152234029      | 27      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.6018331050872803   | 0.6203150153160095   | 0.973925276815602       | 18      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.6203150153160095   | 0.6387969255447388   | 1.6773157545157589      | 31      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.6387969255447388   | 0.657278835773468    | 2.597134071508272       | 48      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.657278835773468    | 0.6757607460021973   | 2.813561910800628       | 52      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.6757607460021973   | 0.6942426562309265   | 3.733380227793141       | 69      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.6942426562309265   | 0.7127245664596558   | 3.78748718761623        | 70      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.7127245664596558   | 0.731206476688385    | 4.003915026908586       | 74      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.731206476688385    | 0.7496883869171143   | 3.5710593483238737      | 66      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.7496883869171143   | 0.7681702971458435   | 3.733380227793141       | 69      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.7681702971458435   | 0.7866522073745728   | 4.112128946554764       | 76      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.7866522073745728   | 0.805134117603302    | 3.5169523885007847      | 65      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.805134117603302    | 0.8236160278320312   | 3.4628454286776957      | 64      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.8236160278320312   | 0.8420978784561157   | 3.1923211719690743      | 59      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.8420978784561157   | 0.860579788684845    | 2.70534799115445        | 50      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.860579788684845    | 0.8790616989135742   | 2.110171433100471       | 39      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.8790616989135742   | 0.8975436091423035   | 1.7314227143388479      | 32      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.8975436091423035   | 0.9160255193710327   | 1.136246156284869       | 21      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.9160255193710327   | 0.934507429599762    | 0.703390477700157       | 13      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.934507429599762    | 0.9529893398284912   | 0.54106959823089        | 10      | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.9529893398284912   | 0.9714712500572205   | 0.37874871876162297     | 7       | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.9714712500572205   | 0.9899531602859497   | 0.10821391964617799     | 2       | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 0.9899531602859497   | 1.0084351301193237   | 0.16232036016976484     | 3       | 0.7523717880249023  
40                      | 41.0   |             | Anode inlet relative humidity     | anode_inlet_relative_humidity     | 1       | 1.0084351301193237   | 1.0269169807434082   | 0.05410713850795041     | 1       | 0.7523717880249023  
40                      | 41.0   |             | Cathode inlet relative humidity   | cathode_inlet_relative_humidity   | 1       | 0.4950787127017975   | 0.513543426990509    | 0.05415735100344723     | 1       | 0.775229275226593   
