simulation_step,time_s,cell_voltage_V,concentration_loss_V,ohmic_loss_V,crossover_loss_V,activation_loss_V,anode_limiting_current_density_A_cm2,cathode_limiting_current_density_A_cm2,anode_water_flux_mol_m2_s,cathode_water_flux_mol_m2_s,anode_hydrogen_flux_mol_m2_s,cathode_oxygen_flux_mol_m2_s
0,0,0,nan,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.1753994112453641,8.0522324221340624e-05,0.00038310747251851552,0.00057397325429734759,0.00039736609912893294
1,0.10000000000000001,0.65892432192041228,-0.093301093797814608,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.3620836172215538,8.0522324221340624e-05,0.00026713960250372574,0.00057397325429734759,0.00039736609912893294
2,0.20000000000000001,0.68225931689900299,-0.07095575253801889,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.5362826761963775,8.0522324221340624e-05,0.00018412662907238382,0.00057397325429734759,0.00039736609912893294
3,0.30000000000000004,0.69183475891179202,-0.062179755484462196,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.6622666894238824,8.0522324221340624e-05,0.00012470367203235347,0.00057397325429734759,0.00039736609912893294
4,0.40000000000000002,0.69668218767247525,-0.057962614992021232,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.7441726144420957,8.0522324221340624e-05,8.2167093984082819e-05,0.00057397325429734759,0.00039736609912893294
5,0.5,0.69976404975263928,-0.055367272857368997,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.8041896042320775,8.0522324221340624e-05,5.1718247912054711e-05,0.00057397325429734759,0.00039736609912893294
6,0.60000000000000009,0.70177989665651619,-0.053720395816947965,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.8469134039236248,8.0522324221340624e-05,2.9922131024938257e-05,0.00057397325429734759,0.00039736609912893294
7,0.70000000000000007,0.7030396358865113,-0.05273652365597796,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.8743977304189061,8.0522324221340624e-05,1.4319874366901241e-05,0.00057397325429734759,0.00039736609912893294
8,0.80000000000000004,0.70388905736527096,-0.052091073561575843,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.8932960841075419,8.0522324221340624e-05,3.1513522817976603e-06,0.00057397325429734759,0.00039736609912893294
9,0.90000000000000002,0.7044687545946452,-0.051660908455861611,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9062945582338173,8.0522324221340624e-05,-4.8433813198440376e-06,0.00057397325429734759,0.00039736609912893294
10,1,0.70486844608190335,-0.051370138517113147,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.915270643770405,8.0522324221340624e-05,-1.0566230312233915e-05,0.00057397325429734759,0.00039736609912893294
11,1.1000000000000001,0.70514639674560831,-0.051171151145280744,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9215038920748631,8.0522324221340624e-05,-1.4662802158351739e-05,0.00057397325429734759,0.00039736609912893294
12,1.2000000000000002,0.70534104006519216,-0.051033552730046408,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9258579050062128,8.0522324221340624e-05,-1.759524033953066e-05,0.00057397325429734759,0.00039736609912893294
13,1.3,0.70547810008320222,-0.050937598172560813,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.928915620181801,8.0522324221340624e-05,-1.9694359800741902e-05,0.00057397325429734759,0.00039736609912893294
14,1.4000000000000001,0.70557502545453021,-0.0508702377626645,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9310727574063695,8.0522324221340624e-05,-2.119696692839299e-05,0.00057397325429734759,0.00039736609912893294
15,1.5,0.70564379102847674,-0.050822708212652036,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9326001334685532,8.0522324221340624e-05,-2.227257421125107e-05,0.00057397325429734759,0.00039736609912893294
16,1.6000000000000001,0.70569269627543896,-0.050789041723077091,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9336846796040377,8.0522324221340624e-05,-2.3042523325458937e-05,0.00057397325429734759,0.00039736609912893294
17,1.7000000000000002,0.70572753928991683,-0.050765126289636794,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9344564470364289,8.0522324221340624e-05,-2.3593673961864211e-05,0.00057397325429734759,0.00039736609912893294
18,1.8,0.70575239602238804,-0.050748101718639027,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9350065242120822,8.0522324221340624e-05,-2.3988202663053157e-05,0.00057397325429734759,0.00039736609912893294
19,1.9000000000000001,0.70577014550350414,-0.050735963796945831,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9353990571209958,8.0522324221340624e-05,-2.4270617098926849e-05,0.00057397325429734759,0.00039736609912893294
20,2,0.70578282863916197,-0.050727300178198827,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9356794101643011,8.0522324221340624e-05,-2.4472777077020947e-05,0.00057397325429734759,0.00039736609912893294
21,2.1000000000000001,0.70579189605885595,-0.050721111377128147,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9358797689036658,8.0522324221340624e-05,-2.4617488719032371e-05,0.00057397325429734759,0.00039736609912893294
22,2.2000000000000002,0.70579838085657909,-0.050716687859752203,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9360230237910119,8.0522324221340624e-05,-2.4721077270688667e-05,0.00057397325429734759,0.00039736609912893294
23,2.3000000000000003,0.70580301982103555,-0.050713524768069743,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.936125483600645,8.0522324221340624e-05,-2.479522878942692e-05,0.00057397325429734759,0.00039736609912893294
24,2.4000000000000004,0.70580633896434697,-0.050711262275260592,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9361987830196281,8.0522324221340624e-05,-2.4848308474809851e-05,0.00057397325429734759,0.00039736609912893294
25,2.5,0.70580871410103685,-0.05070964361036899,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9362512301178603,8.0522324221340624e-05,-2.4886304365498142e-05,0.00057397325429734759,0.00039736609912893294
26,2.6000000000000001,0.70581041388036181,-0.050708485381639697,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9362887615796693,8.0522324221340624e-05,-2.4913502863356238e-05,0.00057397325429734759,0.00039736609912893294
27,2.7000000000000002,0.70581163041952832,-0.050707656523489839,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363156216763031,8.0522324221340624e-05,-2.4932972292084878e-05,0.00057397325429734759,0.00039736609912893294
28,2.8000000000000003,0.70581250114423644,-0.050707063323903991,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363348458179048,8.0522324221340624e-05,-2.4946909041717079e-05,0.00057397325429734759,0.00039736609912893294
29,2.9000000000000004,0.7058131243778083,-0.050706638756783572,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363486054208483,8.0522324221340624e-05,-2.4956885348316398e-05,0.00057397325429734759,0.00039736609912893294
30,3,0.70581357047726601,-0.050706334871474606,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363584541197028,8.0522324221340624e-05,-2.4964026661462565e-05,0.00057397325429734759,0.00039736609912893294
31,3.1000000000000001,0.70581388979301873,-0.05070611735817409,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363655036770797,8.0522324221340624e-05,-2.496913860874931e-05,0.00057397325429734759,0.00039736609912893294
32,3.2000000000000002,0.70581411836056884,-0.050705961664462271,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363705497326298,8.0522324221340624e-05,-2.4972797880444468e-05,0.00057397325429734759,0.00039736609912893294
33,3.3000000000000003,0.70581428197168106,-0.050705850218876414,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363741617293748,8.0522324221340624e-05,-2.4975417287216145e-05,0.00057397325429734759,0.00039736609912893294
34,3.4000000000000004,0.70581439908704746,-0.050705770445246129,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363767472401812,8.0522324221340624e-05,-2.4977292330232027e-05,0.00057397325429734759,0.00039736609912893294
35,3.5,0.70581448292043436,-0.05070571334221069,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363785979912196,8.0522324221340624e-05,-2.4978634537310988e-05,0.00057397325429734759,0.00039736609912893294
36,3.6000000000000001,0.70581454293015577,-0.050705672466865359,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363799227949254,8.0522324221340624e-05,-2.4979595325851529e-05,0.00057397325429734759,0.00039736609912893294
37,3.7000000000000002,0.70581458588649437,-0.050705643207466851,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363808711182198,8.0522324221340624e-05,-2.498028308456934e-05,0.00057397325429734759,0.00039736609912893294
38,3.8000000000000003,0.70581461663568235,-0.050705622262938572,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363815499501633,8.0522324221340624e-05,-2.4980775401071816e-05,0.00057397325429734759,0.00039736609912893294
39,3.9000000000000004,0.70581463864672389,-0.050705607270348937,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363820358746839,8.0522324221340624e-05,-2.498112781469072e-05,0.00057397325429734759,0.00039736609912893294
40,4,0.70581465440279401,-0.050705596538282424,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363823837117473,8.0522324221340624e-05,-2.498138008199864e-05,0.00057397325429734759,0.00039736609912893294
41,4.1000000000000005,0.70581466568140216,-0.050705588855995791,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363826327025189,8.0522324221340624e-05,-2.498156066183795e-05,0.00057397325429734759,0.00039736609912893294
42,4.2000000000000002,0.70581467375492901,-0.050705583356815187,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.936382810936661,8.0522324221340624e-05,-2.4981689925826352e-05,0.00057397325429734759,0.00039736609912893294
43,4.2999999999999998,0.70581467953417554,-0.050705579420356563,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363829385214009,8.0522324221340624e-05,-2.4981782456525028e-05,0.00057397325429734759,0.00039736609912893294
44,4.4000000000000004,0.70581468367111599,-0.050705576602534524,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363830298499782,8.0522324221340624e-05,-2.4981848692530157e-05,0.00057397325429734759,0.00039736609912893294
45,4.5,0.70581468663245006,-0.050705574585461814,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363830952254368,8.0522324221340624e-05,-2.4981896106074374e-05,0.00057397325429734759,0.00039736609912893294
46,4.6000000000000005,0.70581468875225306,-0.050705573141586698,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363831420229605,8.0522324221340624e-05,-2.4981930045986219e-05,0.00057397325429734759,0.00039736609912893294
47,4.7000000000000002,0.70581469026966592,-0.050705572108021756,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363831755218985,8.0522324221340624e-05,-2.4981954341103454e-05,0.00057397325429734759,0.00039736609912893294
48,4.8000000000000007,0.70581469135587116,-0.050705571368167911,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363831995013494,8.0522324221340624e-05,-2.4981971732212915e-05,0.00057397325429734759,0.00039736609912893294
49,4.9000000000000004,0.70581469213340653,-0.050705570838560372,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363832166664943,8.0522324221340624e-05,-2.4981984181244778e-05,0.00057397325429734759,0.00039736609912893294
50,5,0.70581469268998764,-0.050705570459452856,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363832289537735,8.0522324221340624e-05,-2.4981993092602321e-05,0.00057397325429734759,0.00039736609912893294
51,5.1000000000000005,0.70581469308840383,-0.050705570188077351,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.9363832377493431,8.0522324221340624e-05,-2.4981999471595781e-05,0.00057397325429734759,0.00039736609912893294
52,5.2000000000000002,0.70581469337360081,-0.050705569993819359,0.052238890075007378,-0.038312399041173402,0.34360948106896622,3.2948664503306864,1.936383244045452,8.0522324221340624e-05,-2.4982004037853824e-05,0.00057397325429734759,0.00039736609912893294
